Bus,Voltage_pu
1,1.05
2,1.04718343788527
3,1.03381195966261
4,1.02671723768971
5,1.01970311893996
6,1.00225428202372
7,0.99892852469492
8,0.986042671944138
9,0.980070332643785
10,0.974531217076117
11,0.973712026230122
12,0.972283735809063
13,0.966462543745744
14,0.964304227795619
15,0.962959602638672
16,0.961657293237143
17,0.959727472150836
18,0.959149559797902
19,1.04668057606171
20,1.04327595645879
21,1.04260552857422
22,1.04199895521971
23,1.03040656734619
24,1.02407141789521
25,1.02091437553408
26,1.00043209196571
27,0.998010946774344
28,0.98720785883669
29,0.979447475514109
30,0.976088506356842
31,0.972160509139053
32,0.971296397266238
33,0.97102865695471
